"identification_number","mode_of_attendance_code","type_of_attendance_code","nesb_indicator","citizenship_indicator","study_area","course_level","raw_comment","train_category"
2430131001605,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","How in-depth the studies are and how planned the teachers are to teach the subjects, most are prepared with what they are going to teach and you can see their passion in the way they teach. There needs to be a standardised template for powerpoints and slides and also how they design moodle and where they place items. I have found that each course has different structures and settings and i am not sure if there has been a role out of powerpoints and slides that the teachers should be using?.","OK"
2430131002845,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","Knowledge / passion of teachers. The foreigner: australian student ratio is way too drastic. As an australian, I feel like I am studying in another country.","OK"
2430131002925,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","Placement.","OK"
2430131004704,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","I have completed some fascinating and engaging courses over the years that had some great teachers! I only completed one course this year which was just fine!. UNSW needs to fund its Arts Departments/ Degree. This course suffers from a lack of options and a very under resourced and underfunded staff. I think there is a lot of potential but it's clear that Arts is not valued at UNSW which is disappointing.","OK"
2430131005341,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The flexibility of being able to pick elective subjects that align with my interests. Accessible resources and textbooks need to be more available. Having classes offered in more than one term. Trimesters not allowing for a depth of understanding a subject - it's too quick and feels like we just scratch the surface of every topic.","OK"
2430131006148,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","Going in placement and learning about the different disciplines of medicine. More practice exams for the biomed final at the end of this year.","OK"
2430131006344,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Probably the tutorials and the interactive components where groups are able to share idea and learn off each other. The cost. The cost of classes has gone up significantly, especially during covid where the capacity to learn was greatly diminished.","OK"
2430131008364,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The legal subjects are the best in this degree. It provides context and the reasons as to why the criminal justice system is the way it is. There needs to be more focus on other groups that touch the criminal justice system. There is far too much emphasis on First Nations people. Whilst there is justification for the inclusion of this group, they are not the only group. Basically I feel this is degree is an decolonising and First Nations people degree. I have spoken with many other students who all feel the same. The reality is that the criminal justice system touches many groups and all must be considered. This degree needs to be more diverse and inclusive. There are also many irrelevant subjects that were not clear where the topic was going. Also the constant 'reflecting' needs to be limited to one subject. It's repeated over and over in other subjects where students want to learn the material, no consistently 'reflect' on it. Critically analyse, yes, but not this constant circular 'reflecting'.","OK"
2430131008836,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","My exchange. Funding for the exchange. If a year exchange is compulsory, there should be a budget given to students instead of offering a $7000 loan they need to pay back indexed on hex.","OK"
2430131008906,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The electives. Need to foster more of a sense of belonging.","OK"
